QKEY,NEW_Device_Type_W19,LANGUAGE_W19,ONLSELL1_W19,ONLSELL2_A_W19,ONLSELL2_B_W19,ONLSELL2_C_W19,ONLSELL2_D_W19,ONLSELL2REF_W19,ONLSELL3_W19,ONLSELL4_W19,GIGWORK1_W19,RIDESHR_W19,GIGWORK2_A_W19,GIGWORK2_B_W19,GIGWORK2_C_W19,GIGWORK2_D_W19,GIGWORK2_E_W19,GIGWORK2REF_W19,GIGWORK3_W19,GIGWORK4_A_W19,GIGWORK4_B_W19,GIGWORK4_C_W19,GIGWORK4_D_W19,GIGWORK4_E_W19,GIGWORK4_F_W19,GIGWORK4REF_W19,GIGWORK5_W19,GIGWORK6_W19,HOMESHR1_W19,HOMESHR2_A_W19,HOMESHR2_B_W19,HOMESHR2_C_W19,HOMESHR2_D_W19,HOMESHR2_E_W19,HOMESHR2REF_W19,HOMESHR3_W19,INCCOUNT_W19,EXTRAINC_A_W19,EXTRAINC_B_W19,EXTRAINC_C_W19,EXTRAINC_D_W19,EXTRAINC_E_W19,EXTRAINCREF_W19,THOUGHTA_W19,VOTEGEN_W19,VOTEGEN2_W19,VOTEGEN3_W19,CAMPFEEL_1_W19,CAMPFEEL_2_W19,CAMPFEEL_3_W19,CAMPFEEL_4_W19,CAMPFEEL_5_W19,CAMPFEEL_6_W19,CAMPFEEL_7_W19,CAMPFEEL_8_W19,CAMPFEELREF_W19,WHOWIN_W19,CIVIC_ENG_ACTMOD_A_W19,CIVIC_ENG_ACTMOD_C_W19,CIVIC_ENG_ACTMOD_D_W19,CIVIC_ENG_ACTMOD_G_W19,CIVIC_ENG_ACTMOD_H_W19,CIVIC_ENG_ACTMOD_I_W19,CIVIC_ENG_ACTMOD_J_W19,CIVIC_ENG_ACTMOD_K_W19,CIVIC_ENG_ACTMODREF_W19,QBELIEF1_W19,POLNEWSSNSINT_W19,TALKPOLSNSINT_W19,SNSINT_A_W19,SNSINT_B_W19,SNSINT_C_W19,SNSINT_D_W19,SNSINTREF_W19,FBKNOW_W19,TWKNOW_W19,IGKNOW_W19,FBPOST1_W19,TWPOST1_W19,IGPOST1_W19,FBPOST2_W19,TWPOST2_W19,IGPOST2_W19,QBELIEF2_W19,QBELIEF3_W19,QBELIEF4_W19,ELECTFTGSNSINT_W19,TALKDISASNSINT_W19,TALKCMNSNSINT_W19,QUAL1_W19,QUAL2_W19,QUAL3_W19,QUAL4_W19,QUAL5_W19,QUAL6_W19,QUAL7_W19,QIMPACTA_W19,QIMPACTB_W19,QIMPACTC_W19,QIMPACTD_W19,QIMPACTE_W19,QCHANGE1_W19,QCHANGE3_W19,QCHANGE5_W19,QDISAGREE1_W19,RESPONSE_EXP_W19,QDISAGREE2_W19,QDISAGREE3_W19,QDISAGREE4_A_W19,QDISAGREE4_B_W19,QDISAGREE4_C_W19,QDISAGREE4_D_W19,QDISAGREE4_E_W19,QFOLLOW1_W19,QFOLLOW2_W19,QFOLLOW3_A_W19,QFOLLOW3_B_W19,QFOLLOW3_C_W19,QFOLLOW3_D_W19,QFOLLOW3_E_W19,QFOLLOW3REF_W19,TENURE_W19,F_CREGION_FINAL,F_AGECAT_FINAL,F_SEX_FINAL,F_EDUCCAT_FINAL,F_EDUCCAT2_FINAL,F_HISP_RECRUITMENT,F_RACECMB_RECRUITMENT,F_RACETHN_RECRUITMENT,F_CITIZEN_RECODE_RECRUITMENT,F_MARITAL_FINAL,F_RELIG_FINAL,F_BORN_FINAL,F_ATTEND_FINAL,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_INCOME_FINAL,F_INCOME_RECODE_FINAL,F_REG_FINAL,F_IDEO_FINAL,F_IDEOCONSISTREC_RECRUITMENT,F_INTUSER_FINAL,F_INSURANCE_FINAL,F_INT_FREQ1_FINAL,F_INT_FREQCOMB_FINAL,F_SNSUSER_FINAL,F_BBINT_RF1,WEIGHT_W19
274822,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,3,1,2,1,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,6,3,4,1,2,3,2,1,1,1,1,1,1,4,1,0,1,9,1,1,2,5,1,1,1,2,1,1,0.1179461
274825,3,9,1,1,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,2,4,1,1,1,1,0,3,2,2,2,2,3,4,4,4,1,1,1,2,2,2,2,2,3,1,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,0,1,1,0,0,2,0,0,0,0,0,0,0,4,2,1,1,2,3,2,1,1,1,2,12,2,5,2,0,2,1,3,2,4,3,1,1,1,2,1,1,0.6874861
274890,5,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,2,1,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,4,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,2,3,2,2,2,1,5,1,2,4,2,0,2,5,2,1,3,2,0,1,6,9,2,3,2.489707
275252,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1,2,4,2,1,1,1,1,1,2,4,3,1,1,3,3,1,1,4,1,1,1,3,1,1,0.7630033
275824,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,2,2,2,1,2,3,3,3,2,2,2,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,3,2,1,1,6,2,1,1,1,1,9,2,6,3,2,2,9,1,1,3,2,1,1,1,2,2,1,1.0872747
275958,1,9,1,0,1,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,3,4,4,1,1,1,0,0,3,3,3,2,3,2,2,4,4,4,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,2,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,2,3,1,2,2,3,2,2,2,1,1,1,1,1,2,0,2,5,2,1,3,3,1,2,1,1,1,1,0.388212
275977,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,1,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,3,3,4,1,0,0,0,0,1,0,0,3,0,0,4,0,0,4,0,0,3,2,2,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,4,2,2,3,2,1,1,1,5,1,1,3,2,0,2,3,3,1,3,1,1,1,1,2,1,3,0.5417062
276046,2,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0,0,0,1,3,3,1,0,0,0,0,1,0,0,2,0,0,2,0,0,2,0,0,3,1,2,3,3,3,3,3,3,3,3,2,2,2,3,1,2,1,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,4,1,1,5,2,1,1,1,1,5,0,6,1,0,1,9,1,1,2,4,1,1,1,1,1,1,0.1587871
276243,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,2,1,0,0,0,0,1,0,0,1,0,0,2,0,0,3,0,0,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,0,2,0,0,0,0,0,0,0,6,1,3,1,2,4,2,1,1,1,1,9,0,6,4,1,1,9,1,1,3,3,1,1,1,2,1,1,0.1794565
276645,5,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,3,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,3,1,1,1,3,1,1,12,0,5,2,0,2,9,1,3,4,3,1,1,1,1,1,2,1.5054317
276798,2,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,2,1,1,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,6,3,4,1,2,3,2,2,2,1,3,1,2,4,3,2,2,3,3,1,3,1,1,1,5,8,2,1,6.0986007
277314,3,9,1,1,0,0,0,0,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,1,5,2,1,1,1,3,2,2,2,1,0,1,3,3,1,2,3,1,1,1,3,2,1,0.2414967
277491,2,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4,4,1,0,0,0,0,1,0,0,4,0,0,4,0,0,4,0,0,3,2,2,2,2,3,1,2,2,3,2,2,2,2,3,2,2,2,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,3,2,1,5,2,1,1,1,1,1,1,2,1,0,1,7,1,1,1,5,1,1,1,3,2,2,0.2817815
277772,5,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,3,0,1,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,4,2,1,1,1,5,1,1,2,4,99,3,2,3,3,1,5,1,1,6,9,2,2,0.6463383
278114,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,99,3,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,5,2,1,1,1,6,1,1,2,2,0,2,4,2,2,3,2,1,1,1,2,1,1,0.3114211
278353,2,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,1,2,3,2,1,1,1,1,1,2,1,1,0,1,6,2,1,2,4,1,1,2,5,2,1,0.3811717
278702,3,9,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,0,1,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,4,1,0,0,0,0,3,0,0,2,0,0,4,0,0,3,0,0,3,1,2,1,2,2,1,3,2,3,1,2,2,2,3,2,2,2,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,3,3,2,2,4,2,1,1,1,3,1,1,4,1,0,1,5,2,1,2,3,1,1,1,1,1,1,1.1015255
279051,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,2,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,1,2,2,2,2,3,1,2,3,1,1,2,1,1,3,2,2,1,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,4,4,2,1,5,2,1,1,1,5,1,2,2,1,0,1,3,3,1,1,4,1,1,1,3,1,1,0.1831962
279114,1,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,4,1,2,1,0,0,0,0,3,0,0,2,0,0,2,0,0,4,0,0,2,2,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,2,1,2,0,0,1,1,0,2,0,0,0,0,0,0,0,6,2,3,2,3,2,2,1,1,1,1,2,2,6,4,2,2,5,2,1,4,3,1,1,1,2,1,1,0.8718894
279292,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,2,1,5,2,1,1,1,1,2,2,2,1,0,1,9,1,1,2,3,1,1,1,3,2,1,0.5064881
279595,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1,1,6,2,1,1,1,1,1,1,2,2,0,2,8,1,1,3,3,1,1,1,2,2,1,0.1316698
279742,3,9,1,1,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,3,2,3,1,1,0,0,0,3,2,0,1,3,0,4,4,0,3,1,0,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,2,2,1,1,2,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,4,3,2,2,1,6,2,1,1,1,1,1,2,4,2,0,2,8,1,1,4,1,1,1,1,2,1,1,0.3212793
279766,1,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3,2,4,1,0,0,0,0,1,0,0,3,0,0,4,0,0,3,0,0,3,99,99,3,2,2,1,2,2,2,1,3,2,3,3,2,2,1,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,4,2,1,5,2,1,1,1,1,2,2,2,1,0,1,8,1,1,2,3,1,1,1,3,1,1,0.2829302
279894,2,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,2,1,0,0,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,3,1,3,1,0,0,0,0,1,0,0,1,0,0,3,0,0,3,0,0,2,1,1,2,2,3,1,3,3,3,3,2,2,2,3,2,2,1,1,2,2,2,0,0,0,0,0,1,3,1,0,0,0,0,0,5,2,3,2,2,3,2,1,1,1,1,1,2,5,3,99,3,7,1,1,3,2,1,1,2,5,1,1,0.4338157
279925,5,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,3,2,2,1,1,1,5,1,1,2,1,0,1,3,3,1,2,5,1,1,6,9,2,2,2.0153528
279938,5,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,3,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,3,2,2,1,1,1,5,1,2,4,2,0,2,3,3,1,3,1,0,1,6,9,2,2,0.4887761
280034,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,2,1,1,1,0,0,0,1,2,0,2,2,0,2,3,0,1,3,0,1,2,2,1,3,3,3,3,3,3,1,1,3,1,2,1,1,1,2,2,2,2,0,0,0,0,0,1,3,1,0,1,0,0,0,5,1,2,1,2,3,2,2,2,1,6,2,2,3,2,0,2,6,2,1,3,2,1,1,1,1,1,1,1.0662599
280165,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,1,2,3,2,1,1,1,1,2,2,3,3,1,1,8,1,1,1,4,1,1,1,2,1,1,0.1707947
280651,5,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,0,3,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,4,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,1,2,1,1,1,1,1,1,2,3,2,2,3,3,1,2,4,1,1,5,8,1,1,2.319697
280823,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,3,2,4,1,0,0,0,0,1,0,0,3,0,0,4,0,0,4,0,0,3,1,2,3,3,3,3,3,3,3,2,2,2,2,3,2,2,2,1,2,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,3,3,1,1,6,2,1,1,1,1,1,2,6,1,0,1,9,1,1,2,4,1,1,1,2,1,1,0.4817087
280916,1,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,3,1,2,1,0,0,0,0,1,0,0,2,0,0,2,0,0,3,0,0,1,1,1,3,1,2,2,1,2,1,1,2,2,1,2,2,2,1,2,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,3,1,3,2,2,1,1,1,1,1,2,2,1,0,1,6,2,1,2,4,1,1,1,3,1,1,0.4213513
281021,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,3,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,3,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,1,2,3,2,1,1,1,3,9,0,5,4,99,3,4,2,1,5,1,1,2,1,3,1,1,0.1474107
281124,1,9,1,0,0,0,1,0,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,2,3,4,1,0,0,0,0,1,0,0,4,0,0,4,0,0,4,0,0,3,2,2,2,3,2,3,3,3,3,3,3,3,3,3,2,2,2,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,4,2,1,1,3,1,2,1,1,1,6,1,1,5,1,0,1,4,2,3,3,4,1,1,1,1,1,1,0.8748663
281163,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,3,2,3,1,1,1,0,0,1,1,1,2,3,4,3,4,4,3,4,4,2,2,2,3,3,3,3,2,3,3,2,2,3,2,2,1,2,1,1,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,6,4,4,2,2,3,2,1,1,1,5,1,1,2,3,1,1,5,2,1,1,5,1,1,1,3,1,1,0.1739065
281276,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,2,1,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,1,1,2,1,0,1,0,0,3,0,1,1,0,3,1,0,3,1,0,3,3,2,2,2,2,2,1,2,2,3,1,1,1,2,3,1,2,1,1,2,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,2,1,5,2,1,1,1,2,9,0,4,2,0,2,6,2,1,5,1,1,1,1,2,1,1,0.3337508
281338,1,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,0,2,99,1,3,3,1,3,2,3,3,2,1,2,1,2,2,2,1,2,2,2,2,0,0,0,0,0,1,3,1,0,0,1,0,0,6,3,3,1,2,3,2,1,1,1,5,1,1,4,4,1,1,5,2,1,2,3,1,1,2,5,1,1,1.1616212
281372,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,4,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,2,2,3,2,1,1,1,1,1,1,2,1,0,1,7,1,1,2,4,1,1,1,2,1,1,0.2841906
281516,2,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,1,0,3,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4,3,3,1,0,0,0,0,1,0,0,3,0,0,3,0,0,4,0,0,3,99,99,3,2,3,1,3,3,3,3,3,3,3,3,2,2,1,1,1,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,4,2,2,3,2,1,1,1,5,1,2,4,1,0,1,3,3,1,3,2,1,1,1,4,1,1,0.2192008
281558,3,9,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,3,4,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,2,1,6,2,1,1,1,3,12,0,6,2,0,2,7,1,1,4,2,1,1,1,2,1,1,0.1088018
